"filename", "language", "XML", "YAML", "Properties", "Groovy", "Dart", "GraphQL", "C++", "Markdown", "Swift", "Go", "Go Module File", "JSON", "Go Checksum File", "comment", "blank", "total"
"/Users/juanma/development/golang/happ/happ_server/graph/user.resolvers.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2282, 0, 0, 0, 160, 522, 2964
"/Users/juanma/development/golang/happ/happ_server/happ-fa9e4-firebase-adminsdk-csnty-1bb60eb9e0.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"/Users/juanma/development/golang/happ/happ_server/hash/hash.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 8, 25, 131
"/Users/juanma/development/golang/happ/happ_server/jwtActions/jwtActions.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 119, 30, 150
"/Users/juanma/development/golang/happ/happ_server/jwtActions/jwtPayload.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"/Users/juanma/development/golang/happ/happ_server/main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 5, 27, 117
"/Users/juanma/development/golang/happ/happ_server/middleware/contextMiddleware.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 16, 54
"/Users/juanma/development/golang/happ/happ_server/migration/main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 7, 45
"/Users/juanma/development/golang/happ/happ_server/resolverUtils/userInputValidation.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 272, 63, 336
"/Users/juanma/development/golang/happ/happ_server/tools.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 3, 9
"/Users/juanma/development/golang/happ/happ_server/utils/AES-GCM_Encryption/AES-GCM_Encryption.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 11, 43
"/Users/juanma/development/golang/happ/happ_server/utils/DBTransactions/DBTransactions.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 12, 4, 33
"/Users/juanma/development/golang/happ/happ_server/utils/aws/awsClients.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 14, 59
"/Users/juanma/development/golang/happ/happ_server/utils/aws/awsParams/parameterStore.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 2, 32, 168
"/Users/juanma/development/golang/happ/happ_server/utils/aws/awsS3/s3.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 9, 51
"/Users/juanma/development/golang/happ/happ_server/utils/aws/createParam/createParam.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 226, 70, 297
"/Users/juanma/development/golang/happ/happ_server/utils/background/background.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 3, 40, 253
"/Users/juanma/development/golang/happ/happ_server/utils/entClient.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"/Users/juanma/development/golang/happ/happ_server/utils/firebase/firebase.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 13, 57
"/Users/juanma/development/golang/happ/happ_server/utils/firebase/pushNotfications.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 7, 38
"/Users/juanma/development/golang/happ/happ_server/utils/getUserID.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 4, 16, 58
