"filename", "language", "Dart", "XML", "GraphQL", "YAML", "JSON", "Go", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/widgets/guestListGuests.dart", "Dart", -87, 0, 0, 0, 0, 0, 0, 0, 0, -7, -94
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/widgets/guestListHosts.dart", "Dart", -86, 0, 0, 0, 0, 0, 0, 0, 0, -7, -93
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/widgets/leaveEventConfirmDialog.dart", "Dart", 179, 0, 0, 0, 0, 0, 0, 0, 6, 5, 190
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/widgets/leaveEventDialog.dart", "Dart", 101, 0, 0, 0, 0, 0, 0, 0, 3, 3, 107
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/events/widgets/updateOrDeleteEventDialog.dart", "Dart", 152, 0, 0, 0, 0, 0, 0, 0, 8, 4, 164
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/home.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, -56, 9, 23
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/main/AllEventInvitations.dart", "Dart", 97, 0, 0, 0, 0, 0, 0, 0, -51, -3, 43
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/main/main.dart", "Dart", -2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/main/userEvents.dart", "Dart", 174, 0, 0, 0, 0, 0, 0, 0, 42, 11, 227
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/main/widgets/invitationsFromFriends.dart", "Dart", 124, 0, 0, 0, 0, 0, 0, 0, 15, 16, 155
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/main/widgets/otherInvitations.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, -25, 12, 68
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/profile/profile.dart", "Dart", -215, 0, 0, 0, 0, 0, 0, 0, 215, 0, 0
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/profile/widgets/addRemoveButton.dart", "Dart", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/search/search.dart", "Dart", -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/search/searchBar.dart", "Dart", -3, 0, 0, 0, 0, 0, 0, 0, -32, 0, -35
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/search/searchResults.dart", "Dart", -2, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1
"/Users/juanma/development/golang/happ/happ_client/lib/src/screens/search/widgets/searchUserTile.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/juanma/development/golang/happ/happ_client/lib/src/utils/event/eventOptions.dart", "Dart", 136, 0, 0, 0, 0, 0, 0, 0, 2, 12, 150
"/Users/juanma/development/golang/happ/happ_client/lib/src/utils/getUserIdFromFBIDToken.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"/Users/juanma/development/golang/happ/happ_client/lib/src/utils/indicators/circularTabIndicator.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40
"/Users/juanma/development/golang/happ/happ_client/lib/src/utils/user/currentUser.dart", "Dart", -4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0
"/Users/juanma/development/golang/happ/happ_client/lib/src/utils/userOptions.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 32, 6, 46
"/Users/juanma/development/golang/happ/happ_client/lib/src/utils/widgets/datetimeField.dart", "Dart", 46, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48
"/Users/juanma/development/golang/happ/happ_client/lib/src/utils/widgets/mapboxMap.dart", "Dart", 109, 0, 0, 0, 0, 0, 0, 0, 5, 3, 117
"/Users/juanma/development/golang/happ/happ_client/lib/src/wrapper.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, -2, 8, 57
"/Users/juanma/development/golang/happ/happ_client/pubspec.yaml", "YAML", 0, 0, 0, 11, 0, 0, 0, 0, 2, 0, 13
"/Users/juanma/development/golang/happ/happ_client/schema.graphql", "GraphQL", 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
"/Users/juanma/development/golang/happ/happ_server/ent/client.go", "Go", 0, 0, 0, 0, 0, 217, 0, 0, 43, 34, 294
"/Users/juanma/development/golang/happ/happ_server/ent/config.go", "Go", 0, 0, 0, 0, 0, -73, 0, 0, -17, -13, -103
"/Users/juanma/development/golang/happ/happ_server/ent/context.go", "Go", 0, 0, 0, 0, 0, -20, 0, 0, -5, -9, -34
"/Users/juanma/development/golang/happ/happ_server/ent/device.go", "Go", 0, 0, 0, 0, 0, 128, 0, 0, 29, 15, 172
"/Users/juanma/development/golang/happ/happ_server/ent/device/device.go", "Go", 0, 0, 0, 0, 0, 69, 0, 0, 24, 15, 108
"/Users/juanma/development/golang/happ/happ_server/ent/device/where.go", "Go", 0, 0, 0, 0, 0, 175, 0, 0, 47, 50, 272
"/Users/juanma/development/golang/happ/happ_server/ent/device_create.go", "Go", 0, 0, 0, 0, 0, 396, 0, 0, 129, 56, 581
"/Users/juanma/development/golang/happ/happ_server/ent/device_delete.go", "Go", 0, 0, 0, 0, 0, 67, 0, 0, 9, 13, 89
"/Users/juanma/development/golang/happ/happ_server/ent/device_query.go", "Go", 0, 0, 0, 0, 0, 509, 0, 0, 74, 46, 629
"/Users/juanma/development/golang/happ/happ_server/ent/device_update.go", "Go", 0, 0, 0, 0, 0, 261, 0, 0, 29, 33, 323
"/Users/juanma/development/golang/happ/happ_server/ent/ent.go", "Go", 0, 0, 0, 0, 0, 8, 0, 0, 5, 7, 20
"/Users/juanma/development/golang/happ/happ_server/ent/ent.graphql", "GraphQL", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/juanma/development/golang/happ/happ_server/ent/entc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 25
"/Users/juanma/development/golang/happ/happ_server/ent/entql.go", "Go", 0, 0, 0, 0, 0, 89, 0, 0, 14, 14, 117
"/Users/juanma/development/golang/happ/happ_server/ent/event.go", "Go", 0, 0, 0, 0, 0, 90, 0, 0, 13, 10, 113
"/Users/juanma/development/golang/happ/happ_server/ent/event/event.go", "Go", 0, 0, 0, 0, 0, 97, 0, 0, 26, 20, 143
"/Users/juanma/development/golang/happ/happ_server/ent/event/where.go", "Go", 0, 0, 0, 0, 0, 53, 0, 0, 16, 16, 85
"/Users/juanma/development/golang/happ/happ_server/ent/event_create.go", "Go", 0, 0, 0, 0, 0, 69, 0, 0, 9, 9, 87
